analyst_id,Ticker,Quarter,Reported,Rank,EpsPoints,RevenuePoints,TotalPoints
Analyst_6452210,JBHT,Q1 2021,15-Apr-21,2/6,16,18,34
Analyst_6452210,MRTN,Q1 2021,15-Apr-21,9/25,25,-7,18
Analyst_6452210,GS,Q1 2021,14-Apr-21,28 / 51,10,-3,7
Analyst_6452210,CAG,Q3 2021,8-Apr-21,23 / 45,-7,15,8
Analyst_6452210,STZ,Q4 2021,8-Apr-21,10/22,7,13,20
Analyst_6452210,MU,Q2 2021,31-Mar-21,49 / 109,21,-2,19
Analyst_6452210,SPWH,Q4 2020,31-Mar-21,1/13,15,13,28
Analyst_6452210,CALM,Q3 2021,29-Mar-21,21 / 34,11,-5,6
Analyst_6452210,FUL,Q1 2021,24-Mar-21,2/4,12,13,25
Analyst_6452210,KBH,Q1 2021,24-Mar-21,2/12,13,12,25
Analyst_6452210,ESLT,Q4 2020,24-Mar-21,1/5,11,13,24
Analyst_6452210,ADBE,Q1 2021,23-Mar-21,80 / 100,9,-3,6
Analyst_6452210,FDX,Q3 2021,18-Mar-21,25 / 37,-3,9,6
Analyst_6452210,NKE,Q3 2021,18-Mar-21,27 / 79,13,-3,10
Analyst_6452210,DG,Q4 2020,18-Mar-21,3/17,-7,23,16
Analyst_6452210,WPM,Q4 2020,11-Mar-21,5/6,-2,-3,-5
Analyst_6452210,STNE,Q4 2020,11-Mar-21,6/8,-7,-2,-9
Analyst_6452210,MYE,Q4 2020,11-Mar-21,3/5,-5,12,7
Analyst_6452210,JD,Q4 2020,11-Mar-21,22 / 50,-3,24,21
Analyst_6452210,AVID,Q4 2020,9-Mar-21,5/6,-7,-2,-9
Analyst_6452210,SWBI,Q3 2021,4-Mar-21,8/17,12,15,27
Analyst_6452210,MEI,Q3 2021,4-Mar-21,2/4,-5,24,19
Analyst_6452210,BJ,Q4 2020,4-Mar-21,2/7,-8,23,15
jean_acciari,MRVL,Q4 2021,3-Mar-21,11/19,-1,9,8
jean_acciari,WEN,Q4 2020,3-Mar-21,5/22,25,-20,5
jean_acciari,DLTR,Q4 2020,3-Mar-21,11/13,-7,-6,-13
jean_acciari,GO,Q4 2020,2-Mar-21,5/7,-7,13,6
jean_acciari,TGT,Q4 2020,2-Mar-21,23 / 35,-5,15,10
jean_acciari,FND,Q4 2020,25-Feb-21,5/6,-3,7,4
jean_acciari,MED,Q4 2020,25-Feb-21,1/3,-6,15,9
jean_acciari,ALRM,Q4 2020,25-Feb-21,5/11,13,17,30
jean_acciari,NPTN,Q4 2020,25-Feb-21,4/5,-6,-4,-10
jean_acciari,WDAY,Q4 2021,25-Feb-21,19 / 40,12,14,26
jean_acciari,TDOC,Q4 2020,24-Feb-21,21 / 43,-1,-1,-2
jean_acciari,ECPG,Q4 2020,24-Feb-21,5/6,-5,-6,-11
jean_acciari,AMAT,Q1 2021,18-Feb-21,17 / 35,17,12,29
jean_acciari,DBX,Q4 2020,18-Feb-21,25 / 36,18,-8,10
jean_acciari,ROKU,Q4 2020,18-Feb-21,31 / 71,11,12,23
jean_acciari,EPAM,Q4 2020,18-Feb-21,3/7,13,16,29
jean_acciari,NEM,Q4 2020,18-Feb-21,3/8,15,-5,10
jean_acciari,SAM,Q4 2020,17-Feb-21,12/18,-23,23,0
jean_acciari,BIO,Q4 2020,11-Feb-21,1/3,14,11,25
jean_acciari,POOL,Q4 2020,11-Feb-21,1/2,17,17,34
jean_acciari,TMHC,Q4 2020,10-Feb-21,6/6,-4,-6,-10
jean_acciari,VIVO,Q1 2021,5-Feb-21,8/10,-3,-6,-9
jean_acciari,VSTO,Q3 2021,4-Feb-21,1/10,23,14,37
jean_acciari,UHAL,Q3 2021,3-Feb-21,1/4,12,16,28
jean_acciari,EMKR,Q1 2021,3-Feb-21,5/6,-13,-3,-16
jean_acciari,UBER,Q3 2021,4-Nov-21,37 / 42,-4,-4,-8
jean_acciari,QS,Q3 2021,26-Oct-21,9/9,-25,-25,-50
jean_acciari,ZM,Q2 2022,30-Aug-21,68 / 83,-7,-5,-12
jean_acciari,WDC,Q4 2021,4-Aug-21,15 / 21,8,8,16
jean_acciari,ADBE,Q2 2021,17-Jun-21,57 / 87,8,8,16
jean_acciari,NVDA,Q1 2022,26-May-21,109 / 195,10,12,22
jean_acciari,HON,Q1 2021,23-Apr-21,13 / 18,5,6,11
jean_acciari,ADI,Q1 2021,17-Feb-21,6/13,13,8,21
jean_acciari,PHM,Q4 2020,28-Jan-21,3/8,17,14,31
jean_acciari,TER,Q4 2020,27-Jan-21,6/8,16,13,29
jean_acciari,VFC,Q3 2021,27-Jan-21,5/21,22,-1,21
jean_acciari,PG,Q2 2021,20-Jan-21,7/29,12,14,26
jean_acciari,AMZN,Q3 2020,29-Oct-20,180 / 282,-4,12,8
jean_acciari,FB,Q3 2020,29-Oct-20,140 / 209,8,8,16
jean_acciari,ADM,Q3 2020,29-Oct-20,16 / 22,9,-3,6
jean_acciari,EBAY,Q3 2020,28-Oct-20,34 / 83,14,8,22
jean_acciari,FB,Q2 2020,30-Jul-20,169 / 302,8,10,18
jean_acciari,INT,Q2 2020,30-Jul-20,2/8,-3,18,15
jean_acciari,AAPL,Q3 2020,30-Jul-20,271 / 408,8,-4,4
jean_acciari,AMD,Q2 2020,28-Jul-20,174 / 267,-3,11,8
jean_acciari,MSFT,Q4 2020,22-Jul-20,303 / 363,8,-5,3
jean_acciari,HD,Q1 2020,19-May-20,56 / 68,-3,-4,-7
jean_acciari,PLUG,Q1 2020,7-May-20,4/13,-3,18,15
jean_acciari,BYD,Q1 2020,28-Apr-20,30 / 32,-4,-4,-8
jean_acciari,OKE,Q1 2020,28-Apr-20,3/10,17,9,26
jean_acciari,INTC,Q1 2020,23-Apr-20,12 / 171,12,23,35
Analyst_3358941,UNH,Q1 2020,15-Apr-20,39 / 53,-3,-3,-6
Analyst_3358941,INT,Q4 2019,27-Feb-20,6/6,11,-25,-14
Analyst_3358941,DE,Q1 2020,21-Feb-20,7/24,9,11,20
Analyst_3358941,STMP,Q4 2019,19-Feb-20,11/24,8,8,16
Analyst_3358941,BABA,Q3 2020,13-Feb-20,159 / 168,-9,-10,-19
Analyst_3358941,AMAT,Q1 2020,12-Feb-20,19 / 57,14,19,33
Analyst_3358941,TWTR,Q4 2019,6-Feb-20,27 / 159,21,-2,19
Analyst_3358941,HON,Q4 2019,31-Jan-20,8/18,17,-4,13
Analyst_3358941,LRCX,Q2 2020,29-Jan-20,23 / 59,11,17,28
Analyst_3358941,TSLA,Q4 2019,29-Jan-20,426 / 580,-3,-3,-6
Analyst_3358941,MA,Q4 2019,29-Jan-20,18 / 92,7,22,29
Analyst_3358941,MCD,Q4 2019,29-Jan-20,13 / 84,18,16,34
Analyst_3358941,AAPL,Q1 2020,28-Jan-20,387 / 513,-5,9,4
Analyst_3358941,NFLX,Q4 2019,21-Jan-20,47 / 296,8,22,30
Analyst_3358941,UNH,Q4 2019,15-Jan-20,14 / 59,15,-3,12
Analyst_3358941,AMAT,Q4 2019,14-Nov-19,21 / 64,18,11,29
Analyst_3358941,WMT,Q3 2020,14-Nov-19,12 / 100,8,19,27
Analyst_3358941,CSCO,Q1 2020,13-Nov-19,128 / 146,0,-10,-10
Analyst_3358941,DISCA,Q3 2019,7-Nov-19,29 / 32,-25,-2,-27
Analyst_3358941,DISH,Q3 2019,7-Nov-19,14 / 27,13,-9,4
Analyst_3358941,YUM,Q3 2019,30-Oct-19,7/1,-3,-2,-5
Analyst_3358941,MA,Q3 2019,29-Oct-19,26 / 102,12,14,26
Analyst_3358941,V,Q4 2019,24-Oct-19,131 / 159,17,-15,2
Analyst_3358941,AMZN,Q3 2019,24-Oct-19,124 / 393,-3,17,14
Analyst_3358941,BABA,Q3 2021,2-Feb-21,107 / 133,-5,-12,-17
Analyst_3358941,PHM,Q4 2020,28-Jan-21,6/8,-2,-2,-4
Analyst_3358941,PD,Q3 2022,7-Dec-21,9/9,-11,-13,-24
Analyst_3358941,AVAV,Q2 2022,7-Dec-21,3/9,12,-4,8
Analyst_3358941,MDB,Q3 2022,6-Dec-21,23 / 25,8,-7,1
Analyst_3358941,OLLI,Q3 2021,2-Dec-21,11/11,-7,-6,-13
Analyst_3358941,VEEV,Q3 2022,1-Dec-21,19 / 24,9,-6,3
Analyst_3358941,SNPS,Q4 2021,1-Dec-21,12/12,-23,-25,-48
Analyst_3358941,OKTA,Q3 2022,1-Dec-21,35 / 37,-10,-3,-13
Analyst_3358941,ZS,Q1 2022,30-Nov-21,35 / 37,-6,-10,-16
Analyst_3358941,BZUN,Q3 2021,30-Nov-21,11/11,-25,-25,-50
Analyst_3358941,MOMO,Q3 2021,30-Nov-21,16 / 17,-17,-25,-42
Analyst_3358941,PSTG,Q3 2022,23-Nov-21,8/10,8,-8,0
Analyst_3358941,PLAN,Q3 2022,23-Nov-21,8/13,14,-6,8
Analyst_3358941,ADSK,Q3 2022,23-Nov-21,16 / 25,11,-3,8
Analyst_3358941,ESLT,Q3 2021,23-Nov-21,1/3,17,15,32
Analyst_3358941,ZM,Q3 2022,22-Nov-21,52 / 57,-10,-19,-29
Analyst_3358941,AMAT,Q4 2021,18-Nov-21,44 / 48,-15,-6,-21
Analyst_3358941,PANW,Q1 2022,18-Nov-21,26 / 34,25,-18,7
Analyst_3358941,BABA,Q2 2022,18-Nov-21,147 / 161,-18,-4,-22
Analyst_3358941,BERY,Q4 2021,18-Nov-21,8/9,15,-13,2
Analyst_3358941,ATHM,Q3 2021,18-Nov-21,5/5,-15,-22,-37
Analyst_3358941,NVDA,Q3 2022,17-Nov-21,98 / 212,14,9,23
Analyst_3358941,CPRT,Q1 2022,17-Nov-21,7/7,-16,-9,-25
Analyst_3358941,API,Q3 2021,15-Nov-21,6/7,-7,11,4
Analyst_3358941,TSN,Q4 2021,15-Nov-21,22 / 22,-21,-25,-46
Analyst_3358941,CGEN,Q3 2021,12-Nov-21,1/6,17,9,26
Analyst_539247,WIX,Q3 2021,11-Nov-21,11/16,-6,13,7
Analyst_539247,NICE,Q3 2021,11-Nov-21,6/6,7,-7,0
Analyst_539247,WB,Q3 2021,11-Nov-21,9/9,-21,-13,-34
GHS_24,YETI,Q3 2021,11-Nov-21,11/16,11,-20,-9
Dominantstock,FVRR,Q3 2021,10-Nov-21,11/27,25,-3,22
Dominantstock,VCYT,Q3 2021,9-Nov-21,4/6,0,-3,-3
Dominantstock,SAIL,Q3 2021,9-Nov-21,8/13,-8,13,5
Dominantstock,COHR,Q4 2021,9-Nov-21,4/8,-3,11,8
Dominantstock,LGND,Q3 2021,9-Nov-21,5/6,13,-15,-2
Dominantstock,TWOU,Q3 2021,9-Nov-21,6/9,-7,-2,-9
Dominantstock,NIO,Q3 2021,9-Nov-21,26 / 46,-4,12,8
Dominantstock,MIDD,Q3 2021,9-Nov-21,5/5,-9,-18,-27
Dominantstock,ALLT,Q3 2021,9-Nov-21,2/5,17,9,26
Dominantstock,WRK,Q4 2021,9-Nov-21,10/11,-5,-25,-30
Dominantstock,HUYA,Q3 2021,9-Nov-21,12/12,-16,-25,-41
Dominantstock,PLTR,Q3 2021,9-Nov-21,53 / 71,-3,-3,-6
Dominantstock,APPF,Q3 2021,8-Nov-21,3/3,-12,-4,-16
Dominantstock,ZNGA,Q3 2021,8-Nov-21,22 / 34,-15,20,5
Dominantstock,DDD,Q3 2021,8-Nov-21,19 / 30,25,-6,19
Dominantstock,MTRX,Q1 2022,8-Nov-21,2/2,-5,-12,-17
Dominantstock,NVTA,Q3 2021,8-Nov-21,2/13,-4,21,17
Dominantstock,TSEM,Q3 2021,8-Nov-21,2/2,12,-15,-3
Dominantstock,BEAM,Q3 2021,8-Nov-21,1/1,10,-4,6
Dominantstock,PTON,Q1 2022,4-Nov-21,34 / 39,-17,-23,-40
Dominantstock,PINS,Q3 2021,4-Nov-21,11/1,-8,24,16
Dominantstock,MATW,Q4 2021,18-Nov-21,4/4,-25,-25,-50
Dominantstock,CAL,Q3 2021,18-Nov-21,4/5,11,8,19
Dominantstock,BIDU,Q3 2021,17-Nov-21,28 / 48,11,-1,10
Dominantstock,TEAM,Q1 2022,28-Oct-21,19 / 23,8,-6,2
Dominantstock,CCL,Q3 2021,24-Sep-21,9/24,-2,24,22
Dominantstock,MTRX,Q4 2021,13-Sep-21,1/5,9,22,31
Dominantstock,ORCL,Q1 2022,13-Sep-21,28 / 48,-4,-1,-5
Dominantstock,AMC,Q2 2021,9-Aug-21,27 / 35,-3,-3,-6
Dominantstock,WYNN,Q2 2021,4-Aug-21,7/29,12,12,24
Dominantstock,ROKU,Q2 2021,4-Aug-21,52 / 54,-11,-22,-33
Dominantstock,SQ,Q2 2021,2-Aug-21,58 / 74,-5,-6,-11
Dominantstock,BAC,Q2 2021,14-Jul-21,32 / 57,8,-2,6
Dominantstock,NKE,Q4 2021,24-Jun-21,53 / 67,-4,9,5
Dominantstock,WYNN,Q1 2021,10-May-21,8/1,-2,18,16
Dominantstock,UNVR,Q1 2021,7-May-21,2/3,9,-3,6
Dominantstock,CAT,Q1 2021,29-Apr-21,15 / 22,-4,11,7
Dominantstock,DAL,Q1 2021,15-Apr-21,31 / 32,-12,-25,-37
Dominantstock,PSMT,Q2 2021,8-Apr-21,3/6,10,-4,6
Dominantstock,DAL,Q4 2020,14-Jan-21,31 / 39,-8,-11,-19
Dominantstock,DAL,Q3 2020,13-Oct-20,43 / 54,-4,-7,-11
Dominantstock,DAL,Q2 2020,14-Jul-20,4/1,23,25,48
Dominantstock,MOMO,Q3 2021,30-Nov-21,4/17,19,16,35
Dominantstock,CSIQ,Q3 2021,18-Nov-21,6/11,9,-3,6
