analyst_id,analyst_names,roles,membersince,confidence_score,errorrate,accuracy,points,points_per_estimate,stocks,pending_estimates
Analyst_939213,Analyst_9614248,"Non Professional, Other, Other",20-Aug,7.2,-,-,-,-,-,0
Analyst_6127515,Analyst_9614248,"Non Professional, Other, Other",20-Aug,7.2,-,-,-,-,-,0
oakcrest12,Analyst_9614248,"Non Professional, Other, Other",20-Aug,7.2,-,-,-,-,-,0
Cantor_37,Analyst_9614248,"Non Professional, Other, Other",20-Aug,7.2,-,-,-,-,-,0
Needham_23,Analyst_9614248,"Non Professional, Other, Other",20-Aug,7.2,-,-,-,-,-,0
Analyst_4130993,Analyst_9614248,"Non Professional, Other, Other",20-Aug,7.2,-,-,-,-,-,0
LucentOne,Analyst_9614248,"Non Professional, Other, Other",20-Aug,7.2,-,-,-,-,-,0
Analyst_1398534,Analyst_9614248,"Non Professional, Other, Other",20-Aug,7.2,-,-,-,-,-,0
Pavel_Kaleda,Analyst_9614248,"Non Professional, Other, Other",20-Aug,7.2,-,-,-,-,-,0
Analyst_2861660,Analyst_9614248,"Non Professional, Other, Other",20-Aug,7.2,-,-,-,-,-,0
bdarbe11,Analyst_9614248,"Non Professional, Other, Other",20-Aug,7.2,-,-,-,-,-,0
Analyst_6708666,Analyst_9614248,"Non Professional, Other, Other",20-Aug,7.2,-,-,-,-,-,0
GHS_48,Analyst_9614248,"Non Professional, Other, Other",20-Aug,7.2,-,-,-,-,-,0
GHS_22,Analyst_9614248,"Non Professional, Other, Other",20-Aug,7.2,-,-,-,-,-,0
Analyst_3823532,Analyst_9614248,"Non Professional, Other, Other",20-Aug,7.2,-,-,-,-,-,0
Analyst_8202295,Analyst_9614248,"Non Professional, Other, Other",20-Aug,7.2,-,-,-,-,-,0
Suntrust_43,Analyst_9614248,"Non Professional, Other, Other",20-Aug,7.2,-,-,-,-,-,0
Analyst_5498960,Analyst_9614248,"Non Professional, Other, Other",20-Aug,7.2,-,-,-,-,-,0
Analyst_2607819,Analyst_9614248,"Non Professional, Other, Other",20-Aug,7.2,-,-,-,-,-,0
HappyEstimates,Analyst_9614248,"Non Professional, Other, Other",20-Aug,7.2,-,-,-,-,-,0
Madmoni,Analyst_9614248,"Non Professional, Other, Other",20-Aug,7.2,-,-,-,-,-,0
Suntrust_101,Analyst_9614248,"Non Professional, Other, Other",20-Aug,7.2,-,-,-,-,-,0
Suntrust_41,Analyst_9614248,"Non Professional, Other, Other",20-Aug,7.2,-,-,-,-,-,0
Analyst_4521605,Analyst_9614248,"Non Professional, Other, Other",20-Aug,7.2,-,-,-,-,-,0
Jodylon,Analyst_9614248,"Non Professional, Other, Other",20-Aug,7.2,-,-,-,-,-,0
Analyst_5657908,Analyst_9614248,"Non Professional, Other, Other",20-Aug,7.2,-,-,-,-,-,0
agent4036,Analyst_9614248,"Non Professional, Other, Other",20-Aug,7.2,-,-,-,-,-,0
SanilJohn,Analyst_9614248,"Non Professional, Other, Other",20-Aug,7.2,-,-,-,-,-,0
Analyst_3974749,Analyst_9614248,"Non Professional, Other, Other",20-Aug,7.2,-,-,-,-,-,0
DebtCliff,Analyst_9614248,"Non Professional, Other, Other",20-Aug,7.2,-,-,-,-,-,0
Analyst_7788099,Analyst_9614248,"Non Professional, Other, Other",20-Aug,7.2,-,-,-,-,-,0
swarthy,Analyst_9614248,"Non Professional, Other, Other",20-Aug,7.2,-,-,-,-,-,0
Tag_6,Analyst_9614248,"Non Professional, Other, Other",20-Aug,7.2,-,-,-,-,-,0
Analyst_2467525,Analyst_9614248,"Non Professional, Other, Other",20-Aug,7.2,-,-,-,-,-,0
Analyst_530056,Analyst_9614248,"Non Professional, Other, Other",20-Aug,7.2,-,-,-,-,-,0
Analyst_1529790,Analyst_9614248,"Non Professional, Other, Other",20-Aug,7.2,-,-,-,-,-,0
Analyst_9307651,Analyst_9614248,"Non Professional, Other, Other",20-Aug,7.2,-,-,-,-,-,0
Analyst_904827,Analyst_904827,", , ",18-Feb,6.5,-,-,-,-,-,0
Analyst_7759232,Analyst_7759232,"Non Professional, Other, Other",21-Feb,7.1,-,-,-,-,-,0
Analyst_3715541,Analyst_3715541,", , ",16-Mar,7,13.70%,46%,250,11.9,21,0
Analyst_2978829,Analyst_2978829,", , ",19-Feb,7.9,1.10%,63%,32,32,1,3
arturomonter,arturomonter,"Non Professional, Student, ",20-Aug,4.5,22.50%,6%,-31,-31,1,0
GregTripple,GregTripple,"Financial Professional, Independent, Independent Research",17-Jul,4.6,15.70%,2%,-57,-28.5,2,2
Analyst_3900592,Analyst_3900592,", , ",20-Apr,6.4,-,-,-,-,-,0
Canaccord_205,"Maria Ripps, CFA","Financial Professional, Sell Side, Broker",19-Mar,6.3,10.70%,50%,97,7.8,20,25
Analyst_7825399,Analyst_7825399,", , ",21-Jan,7.3,11.80%,52%,286,11.9,24,4
SmitandCo,SmitandCo,"Non Professional, Financials, Diversified Financial Services",19-Mar,7.6,15.40%,60%,714,14,51,2
Analyst_1701623,Analyst_1701623,"Non Professional, Other, Other",21-Oct,7.2,10.30%,73%,14,14,1,0
Analyst_5940717,Analyst_5940717,"Non Professional, Consumer Staples, Household & Personal Products",18-Jan,6,39.60%,29%,-14,-14,1,0
Analyst_7227115,Analyst_7227115,"Non Professional, Information Technology, Software",20-Mar,6.7,26.50%,30%,-60,-4.3,14,19
Analyst_3343247,Analyst_3343247,", , ",18-Mar,7.7,-,-,-,-,-,0
Analyst_5300825,Analyst_5300825,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
LivefrmDaGutter,LivefrmDaGutter,"Financial Professional, Independent, Independent Research",19-Apr,6,7.20%,34%,-3,-1.5,2,0
Analyst_1592846,Analyst_1592846,"Non Professional, Consumer Discretionary, Media",20-May,6.2,-,-,-,-,-,0
Nobby,Nobby,"Non Professional, Information Technology, Internet Software & Services",16-Jul,5.7,16.60%,35%,20,4,5,1
Analyst_9037722,Analyst_9037722,"Non Professional, Other, Other",21-Feb,6.7,-,-,-,-,-,0
Analyst_1681857,Analyst_1681857,"Non Professional, Other, Other",21-Feb,6.8,-,-,-,-,-,0
Analyst_2816520,Analyst_2816520,"Non Professional, Other, Other",20-Oct,7.2,-,-,-,-,-,0
Analyst_822652,Analyst_822652,"Non Professional, Consumer Staples, Beverages",20-Oct,8,-,-,-,-,-,0
In_Ernest,In_Ernest,"Financial Professional, Sell Side, Other",20-May,7.5,-,-,-,-,-,0
Analyst_1306551,Analyst_1306551,"Non Professional, Other, Other",21-Feb,N/A,-,-,-,-,-,0
Analyst_2910435,Analyst_2910435,", , ",20-Dec,6.9,-,-,-,-,-,0
ValionCapital,Nicolás Suarez,"Financial Professional, Independent, Independent Research",20-Oct,7,11.50%,52%,"1,235",10,124,2
Analyst_4716043,Analyst_4716043,"Financial Professional, Independent, Independent Research",18-Jul,2.2,20.50%,27%,-53,-5.3,11,43
Analyst_9457450,Analyst_9457450,"Non Professional, Other, Other",20-Dec,7,-,-,-,-,-,0
CashProphet,CashProphet,", , ",20-Oct,7.1,15.50%,66%,20,20,1,1
Drogness,Drogness,"Non Professional, Student, ",15-Jul,5.5,12.00%,47%,779,7.1,109,349
Analyst_3993648,Analyst_3993648,", , ",21-Oct,7.6,4.70%,67%,111,18.5,6,0
WonterC,WonterC,"Non Professional, Student, ",20-Feb,8,13.90%,56%,54,4.9,11,0
Aldin87,Aldin87,"Non Professional, Academia, ",14-Mar,6.3,11.40%,88%,32,32,1,1
Analyst_5178017,Analyst_5178017,"Non Professional, Other, Other",17-Jun,8.6,7.20%,64%,343,22.9,15,12
Analyst_8096201,Analyst_8096201,"Financial Professional, Independent, Independent Research",21-May,7.7,13.00%,48%,123,8.8,14,28
Suntrust_90,Neal Dingmann,"Financial Professional, Sell Side, Broker",20-Aug,7.7,31.30%,54%,62,5,25,181
Analyst_3428073,Analyst_3428073,"Non Professional, Other, Other",21-Oct,6.7,42.60%,10%,-7,-7,1,0
Suntrust_11,Neal Dingmann,"Financial Professional, Sell Side, Broker",13-Dec,5.5,91.00%,1%,-342,-40.2,17,27
Analyst_7636260,Analyst_7636260,"Non Professional, Other, Other",21-Jun,N/A,-,-,-,-,-,0
Jen_F,Jen_F,"Financial Professional, Buy Side, Private Equity",20-Aug,8.8,10.90%,61%,"2,402",15.7,153,9
Analyst_1150343,Analyst_1150343,"Non Professional, Other, Other",21-Jun,7.1,-,-,-,-,-,0
amargari,am,"Non Professional, Information Technology, IT Services",15-Oct,7.4,-,-,-,-,-,0
Analyst_8972469,Analyst_8972469,"Non Professional, Other, Other",21-Jul,7.1,-,-,-,-,-,0
Analyst_7537221,Analyst_7537221,", , ",21-Jan,7,6.30%,72%,14,14,1,0
Analyst_1195762,Analyst_1195762,", , ",19-Oct,7.2,-,-,-,-,-,0
Analyst_8385453,Analyst_8385453,", , ",20-Oct,6.4,-,-,-,-,-,0
Analyst_7053330,Analyst_7053330,"Non Professional, Information Technology, IT Services",21-Apr,7.5,-,-,-,-,-,0
Analyst_9753755,Analyst_9753755,"Non Professional, Other, Other",21-Mar,7.1,-,-,-,-,-,0
Analyst_6222748,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
Analyst_5619558,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
Analyst_3670895,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
Analyst_8237749,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
Lyubo,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
omni,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
Analyst_5692657,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
shawncooney,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
Analyst_1404862,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
Analyst_4687655,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
Analyst_8523063,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
Mgspooner,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
Jefferies_57,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
Oppenheimer_66,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
Needham_14,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
Oppenheimer_11,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
Oppenheimer_50,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
binartech,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
Analyst_5274415,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
Analyst_8786923,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
Analyst_291253,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
Analyst_579194,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
riccardo_m,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
Finance_bro,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
rgstocks,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
Cwill,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
Nils1975,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
Analyst_8776243,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
ED_ETT_2109695,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
rsreina,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
Analyst_1536505,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
Knute,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
Analyst_8532270,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
kerryburrell,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
Analyst_6693836,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
Analyst_7902306,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
Helsou,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
Analyst_1371755,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
BirdT,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
dalarcon00,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
tzhang042,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
Analyst_2781059,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
ABDULAZIZ,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
DF_5082802,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
Vts,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
Analyst_4911374,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
hood16,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
PolishPrince,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
DoctorZed,Analyst_6222748,"Non Professional, Other, Other",21-May,6.9,-,-,-,-,-,0
