analyst_id,analyst_names,roles,membersince,confidence_score,errorrate,accuracy,points,points_per_estimate,stocks,pending_estimates
Suntrust_106,Matthew Thornton,"Financial Professional, Sell Side, Broker",20-Aug,6.9,13.50%,43%,91,9.6,13,26
Katzup,Bob Katz,"Financial Professional, Independent, Independent Research",16-Feb,8.6,31.00%,78%,20,20,1,0
Spekoliunas,Zilvinas Speteliunas,"Financials, , ",16-Oct,8.8,-,-,-,-,-,0
serpyou,Zilvinas Speteliunas,"Financials, , ",16-Oct,8.8,-,-,-,-,-,0
Suntrust_46,Zilvinas Speteliunas,"Financials, , ",16-Oct,8.8,-,-,-,-,-,0
shendricks,Zilvinas Speteliunas,"Financials, , ",16-Oct,8.8,-,-,-,-,-,0
Old_Mayor,Zilvinas Speteliunas,"Financials, , ",16-Oct,8.8,-,-,-,-,-,0
Natallia,Zilvinas Speteliunas,"Financials, , ",16-Oct,8.8,-,-,-,-,-,0
Bill_Maurer,Zilvinas Speteliunas,"Financials, , ",16-Oct,8.8,-,-,-,-,-,0
AAFED,Zilvinas Speteliunas,"Financials, , ",16-Oct,8.8,-,-,-,-,-,0
JohnCart,Zilvinas Speteliunas,"Financials, , ",16-Oct,8.8,-,-,-,-,-,0
Analyst_8790220,Zilvinas Speteliunas,"Financials, , ",16-Oct,8.8,-,-,-,-,-,0
mikesmurf,Zilvinas Speteliunas,"Financials, , ",16-Oct,8.8,-,-,-,-,-,0
larrylai,Zilvinas Speteliunas,"Financials, , ",16-Oct,8.8,-,-,-,-,-,0
PM,Zilvinas Speteliunas,"Financials, , ",16-Oct,8.8,-,-,-,-,-,0
Analyst_7579453,Zilvinas Speteliunas,"Financials, , ",16-Oct,8.8,-,-,-,-,-,0
panda_w,Zilvinas Speteliunas,"Financials, , ",16-Oct,8.8,-,-,-,-,-,0
loopie,Zilvinas Speteliunas,"Financials, , ",16-Oct,8.8,-,-,-,-,-,0
dalton,Zilvinas Speteliunas,"Financials, , ",16-Oct,8.8,-,-,-,-,-,0
BaooJee,Zilvinas Speteliunas,"Financials, , ",16-Oct,8.8,-,-,-,-,-,0
Analyst_1839435,Zilvinas Speteliunas,"Financials, , ",16-Oct,8.8,-,-,-,-,-,0
ProspectPark,Zilvinas Speteliunas,"Financials, , ",16-Oct,8.8,-,-,-,-,-,0
Analyst_8583071,Zilvinas Speteliunas,"Financials, , ",16-Oct,8.8,-,-,-,-,-,0
Analyst_5389127,Zilvinas Speteliunas,"Financials, , ",16-Oct,8.8,-,-,-,-,-,0
Analyst_2858786,Zilvinas Speteliunas,"Financials, , ",16-Oct,8.8,-,-,-,-,-,0
Showkz99,Zilvinas Speteliunas,"Financials, , ",16-Oct,8.8,-,-,-,-,-,0
Analyst_1486360,Zilvinas Speteliunas,"Financials, , ",16-Oct,8.8,-,-,-,-,-,0
Analyst_6414753,Zilvinas Speteliunas,"Financials, , ",16-Oct,8.8,-,-,-,-,-,0
Analyst_1274826,Zilvinas Speteliunas,"Financials, , ",16-Oct,8.8,-,-,-,-,-,0
Analyst_3031608,Zilvinas Speteliunas,"Financials, , ",16-Oct,8.8,-,-,-,-,-,0
Analyst_8367894,Zilvinas Speteliunas,"Financials, , ",16-Oct,8.8,-,-,-,-,-,0
Analyst_5277575,Zilvinas Speteliunas,"Financials, , ",16-Oct,8.8,-,-,-,-,-,0
Analyst_883247,Zilvinas Speteliunas,"Financials, , ",16-Oct,8.8,-,-,-,-,-,0
