analyst_id,Ticker,Reports,Quarters,Points,PtsEst,ErrorRate,Accuracy
Suntrust_90,MTDR,23-Feb,2,12,4.8,49.30%,49%
Suntrust_90,CPE,2-Mar,2,35,17.5,17.60%,76%
Suntrust_90,CRK,24-Feb,2,-1,-0.4,48.20%,46%
Suntrust_90,CDEV,28-Feb,2,19,7.6,70.40%,63%
Suntrust_90,COP,3-Feb,2,31,12.4,27.50%,64%
Analyst_3428073,OXY,15-Feb,1,-7,-7,42.60%,10%
Suntrust_11,AR,16-Feb,9,54,5.7,71.40%,42%
Suntrust_11,MTDR,23-Feb,9,-57,-6,50.50%,35%
Suntrust_11,CLR,23-Feb,9,42,4.4,43.60%,50%
Suntrust_11,NOG,2-Mar,9,-34,-3.8,55.10%,41%
Suntrust_11,RRC,23-Feb,9,-24,-2.5,60.90%,25%
Suntrust_11,PDCE,2-Mar,9,-18,-2,71.20%,39%
Suntrust_11,PXD,8-Feb,9,-47,-4.9,40.10%,31%
Suntrust_11,CPE,2-Mar,9,83,9.2,29.40%,62%
Suntrust_11,CNX,1-Feb,9,-55,-5.8,73.40%,13%
Suntrust_11,FANG,15-Feb,9,-21,-2.2,33.60%,44%
Suntrust_11,EQT,17-Feb,8,-107,-13.4,73.50%,22%
Suntrust_11,CDEV,28-Feb,7,54,7.7,56.40%,48%
Suntrust_11,EOG,1-Mar,6,-79,-13.2,46.20%,26%
Suntrust_11,MRO,16-Feb,6,-73,-12.2,56.80%,16%
Suntrust_11,SM,23-Feb,5,-13,-2.6,90.70%,25%
Suntrust_11,DVN,15-Feb,5,-55,-11,76.40%,12%
Suntrust_11,OVV,24-Feb,5,-55,-11,66.90%,23%
Suntrust_11,APA,24-Feb,4,-134,-29.8,87.40%,5%
Suntrust_11,OXY,15-Feb,4,25,5.6,61.00%,33%
Suntrust_11,CRK,24-Feb,2,27,13.5,42.20%,57%
Suntrust_11,SWN,24-Feb,2,0,0,68.20%,37%
Jen_F,AZO,1-Mar,6,128,21.3,7.20%,78%
Jen_F,JKS,1-Mar,6,111,18.5,35.00%,59%
Jen_F,THO,7-Mar,6,121,20.2,13.70%,65%
Jen_F,BABA,2-Feb,6,82,13.7,8.00%,66%
Jen_F,WMT,17-Feb,6,89,14.8,6.90%,58%
Jen_F,CASY,7-Mar,6,52,8.7,8.30%,42%
Jen_F,WB,2-Mar,6,172,28.7,5.50%,66%
Jen_F,LOW,23-Feb,6,90,15,10.20%,55%
Jen_F,DG,17-Mar,6,153,25.5,4.60%,68%
Jen_F,SWBI,3-Mar,6,93,15.5,17.80%,63%
Jen_F,SCSC,8-Feb,5,61,12.2,12.30%,56%
Jen_F,FDX,16-Dec,5,71,14.2,9.30%,64%
Jen_F,DKS,8-Mar,5,75,15,20.20%,70%
Jen_F,CSCO,16-Feb,5,66,13.2,1.70%,60%
Jen_F,PII,1-Feb,5,58,11.6,6.90%,57%
Jen_F,AAPL,1-Feb,5,54,10.8,8.70%,64%
Jen_F,EBAY,2-Feb,5,65,13,4.10%,55%
Jen_F,JPM,14-Jan,5,129,25.8,10.10%,73%
Jen_F,GS,18-Jan,5,91,18.2,22.10%,65%
Jen_F,GIS,21-Dec,5,77,15.4,4.90%,51%
Jen_F,RAD,21-Dec,5,66,13.2,28.40%,57%
Jen_F,LULU,9-Dec,5,135,27,8.80%,70%
Jen_F,DRI,17-Dec,5,62,12.4,16.60%,66%
Jen_F,LEN,15-Dec,5,130,26,10.50%,69%
Jen_F,COST,9-Dec,5,113,22.6,5.90%,72%
Jen_F,KBH,12-Jan,5,97,19.4,8.20%,66%
Jen_F,TOL,22-Feb,5,123,24.6,8.50%,70%
